TitleField1,TitleField2,TitleField3,TitleField4,TitleField5,SrAlias,ClientName,QNo,Site,PartDesc,Part,Field2,Field3,Field4,Field5,SerialNo,QuarantinedQty,PartLocation,NGLStockId,InboundDate,QuarantinedBy_Date,QuarantinedReason,CategoryName,QuarantinedOn1,QuarantineSource,CarrierName,TrackingNo,ASNRef,SubTotal,Total
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8178,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A1B,1,  DEFAULTBIN, 33159227, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8179,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS01,1,  DEFAULTBIN, 33159171, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8180,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS02,1,  DEFAULTBIN, 33159172, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8181,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS03,1,  DEFAULTBIN, 33159173, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8182,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS04,1,  DEFAULTBIN, 33159174, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8183,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS05,1,  DEFAULTBIN, 33159175, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8184,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS06,1,  DEFAULTBIN, 33159176, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8185,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS07,1,  DEFAULTBIN, 33159177, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8186,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS08,1,  DEFAULTBIN, 33159178, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8187,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS09,1,  DEFAULTBIN, 33159179, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8188,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS10,1,  DEFAULTBIN, 33159180, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8189,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS11,1,  DEFAULTBIN, 33159181, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8190,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS12,1,  DEFAULTBIN, 33159182, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8191,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS13,1,  DEFAULTBIN, 33159183, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8192,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS14,1,  DEFAULTBIN, 33159184, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8193,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS15,1,  DEFAULTBIN, 33159185, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8194,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS16,1,  DEFAULTBIN, 33159186, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8195,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS17,1,  DEFAULTBIN, 33159187, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8196,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS18,1,  DEFAULTBIN, 33159188, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,137
